2350,-1898,1807
2450,-1910,1758
2472,-2034,1843
2320,-2064,1874
2198,-2098,1884
2162,-2472,1911
2146,-2392,1884
2236,-2562,1844
2158,-2632,1923
2036,-2634,1905
2168,-2364,1860
2320,-1826,1846
2686,-1168,1866
3134,-642,2090
3810,-142,2787
4252,416,3623
4404,536,4485
4490,434,5198
4352,308,5781
4196,134,6283
4034,-240,6687
4136,-668,6968
4526,-1166,7056
5020,-1876,6935
5592,-2712,6538
5866,-3408,5806
5920,-3748,5018
5634,-4102,3937
4802,-4238,2760
3932,-4086,2200
3204,-3840,1981
2618,-3710,1920
2228,-3656,2180
2012,-3452,2190
2110,-3256,1913
2474,-2936,1755
3102,-2718,1574
3734,-2538,1552
3926,-2574,1622
3912,-2570,1556
4088,-2434,1635
4154,-2682,1766
3828,-2842,1720
3854,-2746,1676
4318,-2752,1812
4540,-2576,1958
4324,-2708,1729
4118,-2934,1779
4014,-3028,1754
3934,-3126,1860
3960,-3344,1868
4270,-3500,2036
4116,-3706,2166
3518,-3924,2158
2748,-4198,2434
2464,-3764,2144
2660,-3058,1804
2934,-2784,1576
3002,-2758,1560
2998,-2726,1590
2834,-2628,1688
2882,-2464,1626
2900,-2340,1547
2710,-2334,1598
2788,-2190,1636
3038,-1992,1561
3040,-2024,1549
2772,-1878,1742
3002,-1502,1652
3148,-1204,1828
3288,-1182,1714
3464,-998,1828
3528,-1020,1819
3548,-1196,1757
3516,-1252,1784
3698,-1140,1814
4098,-1194,1935
4658,-1434,1963
4910,-1444,2094
4994,-1536,2126
5148,-1502,2212
5220,-1588,2281
5580,-1776,2486
5650,-2206,2634
5486,-2578,2424
5520,-3052,2604
5522,-3450,2920
5416,-3864,3036
5276,-4024,3092
5194,-4130,3135
5226,-4164,3243
5046,-4374,3364
4902,-4478,3335
4860,-4444,3091
4722,-4246,2941
4664,-3936,2452
4688,-3726,2380
4730,-3704,2323
4540,-3560,2188
4346,-3718,2248
4216,-3618,2142
4188,-3230,1901
4728,-3298,2187
4800,-3338,2085
4434,-3224,1920
4370,-3102,1863
4690,-3026,1911
4854,-3056,2077
4822,-3050,2058
4832,-3252,2202
4844,-3296,2144
4670,-3332,2101
4464,-3304,2072
4450,-3218,1999
4400,-3148,1915
4348,-3134,1946
4312,-3156,1853
4292,-3170,1801
4150,-3240,1799
4048,-3392,1924
4242,-3242,1909
4272,-2840,1767
4430,-2632,1746
4566,-2642,1880
4656,-2612,1918
4514,-2648,1862
4514,-2700,1830
4664,-2454,1942
4768,-2450,1901
4948,-2376,2001
5162,-2004,2181
5216,-1660,2275
5348,-1726,2346
5374,-1686,2439
5488,-1426,2535
5574,-1478,2622
5614,-1430,2797
5684,-1180,2926
5734,-1200,2967
5752,-1354,2939
5774,-1430,2830
5614,-1454,2646
5544,-1436,2743
5422,-1426,2589
5442,-1430,2475
5182,-1428,2481
5384,-1512,2440
5326,-1488,2436
5396,-1526,2372
5388,-1474,2429
5546,-1454,2584
5602,-1538,2684
5694,-1586,2703
5838,-1488,2973
5912,-1466,3111
6024,-1664,3323
6108,-1804,3358
6176,-1948,3586
6250,-2060,3730
6308,-2272,3755
