1428,-4888,3407
1396,-4978,3385
1396,-4992,3457
1486,-4944,3435
1464,-4964,3431
1450,-4948,3471
1464,-4924,3409
1490,-4910,3444
1450,-4906,3459
1446,-4894,3421
1380,-4928,3399
1396,-4930,3447
1410,-5034,3499
1498,-4992,3462
1484,-5006,3468
1406,-4892,3433
1138,-4764,3405
960,-4550,3376
862,-4362,3375
922,-4246,3292
1060,-4210,3281
1182,-4040,3176
1044,-4038,3271
838,-3928,3226
990,-4080,3285
976,-4138,3223
930,-4084,3258
948,-4010,3257
1046,-3928,3254
1100,-3860,3158
1160,-3762,3199
1154,-3688,3158
1046,-3598,3140
828,-3560,3269
736,-3524,3253
846,-3422,3223
1006,-3298,3110
966,-3132,3190
1100,-2842,3182
1482,-2558,3221
1770,-2542,3214
1920,-2534,3087
2038,-2280,3233
2172,-2696,3140
2512,-3486,3072
2948,-4378,3389
3402,-4948,3794
3756,-5322,4467
4128,-5440,5166
4224,-5548,6044
4086,-5606,6612
3840,-5636,6944
3604,-5642,7266
3384,-5662,7550
3048,-5644,7844
2434,-5502,8198
1780,-5232,8617
1356,-4894,8674
984,-4428,8766
612,-4198,8691
200,-4024,8566
-252,-3870,8385
-636,-3102,7918
-812,-2460,7314
-712,-1976,6912
-426,-1504,6639
-142,-1232,6257
320,-1000,5505
924,-902,4824
1252,-978,4516
1282,-1064,4439
1232,-1252,4106
1310,-1702,3758
1738,-2740,3183
2214,-3846,3094
2624,-4638,3366
2812,-5218,3804
2946,-5760,4281
2912,-5950,4523
3102,-6124,5102
3352,-6204,5932
3666,-5932,6840
3968,-5552,7024
4322,-5234,6673
4772,-4614,6637
4916,-3918,6223
4906,-3308,5730
4748,-2758,5123
4338,-2570,4467
3808,-2432,3924
3104,-2096,3714
2320,-1628,3750
1480,-1376,4043
646,-1214,4538
14,-1230,5250
-218,-1294,6033
-246,-1390,6699
-198,-1492,7150
38,-1598,7503
104,-1668,7675
-76,-1764,7595
-272,-1718,7310
-554,-1912,6956
-752,-2124,6693
-1032,-2482,6450
-1140,-2838,6473
-1166,-3316,6488
-1160,-3754,6693
-1026,-4138,6948
-814,-4498,7129
-606,-4758,7457
-234,-4966,7746
238,-5096,8077
610,-5092,8209
858,-5202,8357
